Сигнал;Время;Класс;Инструмент;Операция;Ордер;Кол-во;Цена;Сумма;Комиссия ТС;Статус;Позиция
Short;08.08.2018 15:31:04;SPBFUT;SiU8;Sell;1010613455;5;65108;325540.00;2.50;Шорт;-5
Cover;08.08.2018 15:35:04;SPBFUT;SiU8;Buy;1010626384;5;65153;-325765.00;2.50;Завершена;0
Buy;08.08.2018 16:16:04;SPBFUT;SiU8;Buy;1010721808;5;65178;-325888.00;2.50;Лонг;5
Sell;08.08.2018 16:19:04;SPBFUT;SiU8;Sell;1010733243;5;65137;325684.00;2.50;Завершена;0
Short;08.08.2018 16:22:04;SPBFUT;SiU8;Sell;1010747190;5;65119;325593.00;2.50;Шорт;-5
Cover;08.08.2018 16:27:44;SPBFUT;SiU8;Buy;1010766589;5;65116;-325580.00;2.50;Завершена;0
Buy;08.08.2018 16:29:09;SPBFUT;SiU8;Buy;1010773223;5;65048;-325238.00;2.50;Лонг;5
Sell;08.08.2018 16:31:14;SPBFUT;SiU8;Sell;1010783365;5;65052;325260.00;2.50;Завершена;0
Short;08.08.2018 17:09:04;SPBFUT;SiU8;Sell;1010958096;5;65043;325216.00;2.50;Шорт;-5
Cover;08.08.2018 17:10:29;SPBFUT;SiU8;Buy;1010964125;5;65042;-325212.00;2.50;Завершена;0
Buy;08.08.2018 18:12:03;SPBFUT;SiU8;Buy;1011226938;5;64961;-324803.00;2.50;Лонг;5
Sell;08.08.2018 18:14:08;SPBFUT;SiU8;Sell;1011235193;5;64938;324691.00;2.50;Завершена;0
Buy;09.08.2018 10:25:05;SPBFUT;SiU8;Buy;1011802930;5;66831;-334155.00;2.50;Лонг;5
Sell;09.08.2018 10:26:05;SPBFUT;SiU8;Sell;1011805906;5;66730;333650.00;2.50;Завершена;0
Short;09.08.2018 10:30:10;SPBFUT;SiU8;Sell;1011821642;5;66696;333480.00;2.50;Шорт;-5
Cover;09.08.2018 10:31:45;SPBFUT;SiU8;Buy;1011826617;5;66692;-333461.00;2.50;Завершена;0
Short;09.08.2018 10:36:05;SPBFUT;SiU8;Sell;1011840206;5;66571;332856.00;2.50;Шорт;-5
Cover;09.08.2018 10:41:05;SPBFUT;SiU8;Buy;1011856545;5;66441;-332207.00;2.50;Завершена;0
Short;09.08.2018 11:12:05;SPBFUT;SiU8;Sell;1011994247;5;66645;333225.00;2.50;Шорт;-5
Cover;09.08.2018 11:13:10;SPBFUT;SiU8;Buy;1012002243;5;66639;-333195.00;2.50;Завершена;0
Short;09.08.2018 11:23:05;SPBFUT;SiU8;Sell;1012054722;5;66494;332470.00;2.50;Шорт;-5
Cover;09.08.2018 11:25:05;SPBFUT;SiU8;Buy;1012068804;5;66556;-332780.00;2.50;Завершена;0
Buy;09.08.2018 12:06:05;SPBFUT;SiU8;Buy;1012250479;5;66292;-331460.00;2.50;Лонг;5
Sell;09.08.2018 12:16:05;SPBFUT;SiU8;Sell;1012280393;5;66197;330985.00;2.50;Завершена;0
Buy;09.08.2018 13:14:05;SPBFUT;SiU8;Buy;1012477270;5;66142;-330710.00;2.50;Лонг;5
Sell;09.08.2018 13:15:40;SPBFUT;SiU8;Sell;1012483876;5;66126;330632.00;2.50;Завершена;0
Buy;09.08.2018 15:02:06;SPBFUT;SiU8;Buy;1012762433;5;66420;-332099.00;2.50;Лонг;5
Sell;09.08.2018 15:03:01;SPBFUT;SiU8;Sell;1012765402;5;66390;331950.00;2.50;Завершена;0
Short;09.08.2018 15:18:06;SPBFUT;SiU8;Sell;1012805199;5;66349;331745.00;2.50;Шорт;-5
Cover;09.08.2018 15:19:16;SPBFUT;SiU8;Buy;1012808542;5;66357;-331785.00;2.50;Завершена;0
Buy;09.08.2018 18:15:06;SPBFUT;SiU8;Buy;1013382350;5;66618;-333090.00;2.50;Лонг;5
Sell;09.08.2018 18:16:56;SPBFUT;SiU8;Sell;1013388495;5;66623;333115.00;2.50;Завершена;0
Buy;09.08.2018 18:30:06;SPBFUT;SiU8;Buy;1013438719;5;66584;-332920.00;2.50;Лонг;5
Sell;09.08.2018 18:42:01;SPBFUT;SiU8;Sell;1013487709;5;66532;332660.00;2.50;Завершена;0
Buy;10.08.2018 10:28:07;SPBFUT;SiU8;Buy;1013939810;5;67331;-336655.00;2.50;Лонг;5
Sell;10.08.2018 10:30:12;SPBFUT;SiU8;Sell;1013950159;5;67255;336275.00;2.50;Завершена;0
Buy;10.08.2018 10:33:07;SPBFUT;SiU8;Buy;1013964627;5;67280;-336398.00;2.50;Лонг;5
Sell;10.08.2018 10:35:07;SPBFUT;SiU8;Sell;1013975245;5;67213;336064.00;2.50;Завершена;0
Short;10.08.2018 10:45:02;SPBFUT;SiU8;Sell;1014027526;5;67070;335349.00;2.50;Шорт;-5
Cover;10.08.2018 10:46:42;SPBFUT;SiU8;Buy;1014035766;5;67075;-335375.00;2.50;Завершена;0
Short;10.08.2018 10:48:07;SPBFUT;SiU8;Sell;1014045056;5;67063;335315.00;2.50;Шорт;-5
Cover;10.08.2018 10:51:07;SPBFUT;SiU8;Buy;1014064120;5;67155;-335775.00;2.50;Завершена;0
Buy;10.08.2018 10:57:07;SPBFUT;SiU8;Buy;1014108004;5;67125;-335624.00;2.50;Лонг;5
Sell;10.08.2018 10:58:42;SPBFUT;SiU8;Sell;1014115613;5;67126;335630.00;2.50;Завершена;0
Buy;10.08.2018 12:05:02;SPBFUT;SiU8;Buy;1014348318;5;67033;-335165.00;2.50;Лонг;5
Sell;10.08.2018 12:11:07;SPBFUT;SiU8;Sell;1014373023;5;67004;335020.00;2.50;Завершена;0
Short;10.08.2018 12:36:02;SPBFUT;SiU8;Sell;1014481535;5;67004;335020.00;2.50;Шорт;-5
Cover;10.08.2018 12:37:22;SPBFUT;SiU8;Buy;1014486700;5;67039;-335195.00;2.50;Завершена;0
Short;10.08.2018 12:40:07;SPBFUT;SiU8;Sell;1014496218;5;67102;335510.00;2.50;Шорт;-5
Cover;10.08.2018 12:52:12;SPBFUT;SiU8;Buy;1014536810;5;67117;-335585.00;2.50;Завершена;0
Short;10.08.2018 12:55:07;SPBFUT;SiU8;Sell;1014548945;5;67170;335851.00;2.50;Шорт;-5
Cover;10.08.2018 12:59:02;SPBFUT;SiU8;Buy;1014564968;5;67236;-336180.00;2.50;Завершена;0
Buy;10.08.2018 13:06:12;SPBFUT;SiU8;Buy;1014572430;5;67129;-335645.00;2.50;Лонг;5
Sell;10.08.2018 13:09:22;SPBFUT;SiU8;Sell;1014581025;5;67108;335540.00;2.50;Завершена;0
Short;10.08.2018 13:22:07;SPBFUT;SiU8;Sell;1014617573;5;67069;335345.00;2.50;Шорт;-5
Cover;10.08.2018 13:24:12;SPBFUT;SiU8;Buy;1014622372;5;67063;-335314.00;2.50;Завершена;0
Short;10.08.2018 14:06:02;SPBFUT;SiU8;Sell;1014733750;5;67181;335904.00;2.50;Шорт;-5
Cover;10.08.2018 14:12:02;SPBFUT;SiU8;Buy;1014749347;5;67227;-336135.00;2.50;Завершена;0
Short;10.08.2018 14:50:07;SPBFUT;SiU8;Sell;1014845294;5;67194;335970.00;2.50;Шорт;-5
Cover;10.08.2018 14:55:12;SPBFUT;SiU8;Buy;1014861881;5;67286;-336430.00;2.50;Завершена;0
Short;10.08.2018 15:25:03;SPBFUT;SiU8;Sell;1015002104;5;67284;336418.00;2.50;Шорт;-5
Cover;10.08.2018 15:28:03;SPBFUT;SiU8;Buy;1015023152;5;67302;-336508.00;2.50;Завершена;0
Buy;10.08.2018 15:36:03;SPBFUT;SiU8;Buy;1015066730;5;67359;-336795.00;2.50;Лонг;5
Sell;10.08.2018 15:38:08;SPBFUT;SiU8;Sell;1015076551;5;67333;336665.00;2.50;Завершена;0
Short;10.08.2018 15:43:03;SPBFUT;SiU8;Sell;1015094454;5;67395;336975.00;2.50;Шорт;-5
Cover;10.08.2018 15:44:28;SPBFUT;SiU8;Buy;1015100974;5;67403;-337015.00;2.50;Завершена;0
Buy;10.08.2018 16:09:08;SPBFUT;SiU8;Buy;1015158956;5;67539;-337695.00;2.50;Лонг;5
Sell;10.08.2018 16:10:53;SPBFUT;SiU8;Sell;1015168652;5;67566;337830.00;2.50;Завершена;0
Short;10.08.2018 16:30:08;SPBFUT;SiU8;Sell;1015271332;5;67735;338675.00;2.50;Шорт;-5
Cover;10.08.2018 16:31:08;SPBFUT;SiU8;Buy;1015277626;5;67750;-338750.00;2.50;Завершена;0
Buy;10.08.2018 16:50:03;SPBFUT;SiU8;Buy;1015377196;5;67732;-338662.00;2.50;Лонг;5
Sell;10.08.2018 16:51:58;SPBFUT;SiU8;Sell;1015389661;5;67645;338223.00;2.50;Завершена;0
Short;10.08.2018 16:55:03;SPBFUT;SiU8;Sell;1015406178;5;67719;338593.00;2.50;Шорт;-5
Cover;10.08.2018 16:56:08;SPBFUT;SiU8;Buy;1015413093;5;67780;-338901.00;2.50;Завершена;0
Short;10.08.2018 18:11:08;SPBFUT;SiU8;Sell;1015817192;5;67569;337847.00;2.50;Шорт;-5
Cover;10.08.2018 18:14:03;SPBFUT;SiU8;Buy;1015829318;5;67734;-338671.00;2.50;Завершена;0
Short;10.08.2018 18:34:03;SPBFUT;SiU8;Sell;1015936588;5;67814;339069.00;2.50;Шорт;-5
Cover;10.08.2018 18:36:03;SPBFUT;SiU8;Buy;1015944094;5;67911;-339553.00;2.50;Завершена;0
Short;10.08.2018 18:39:03;SPBFUT;SiU8;Sell;1015956468;5;67978;339890.00;2.50;Шорт;-5
Cover;10.08.2018 18:40:03;SPBFUT;SiU8;Buy;1015961028;5;67932;-339660.00;2.50;Завершена;0
Buy;10.08.2018 18:53:22;SPBFUT;SiU8;Buy;1015981819;5;68008;-340042.00;2.50;Лонг;5
Sell;10.08.2018 18:55:37;SPBFUT;SiU8;Sell;1015981845;5;67943;339715.00;2.50;Завершена;0
Buy;10.08.2018 18:56:02;SPBFUT;SiU8;Buy;1015981856;5;68006;-340031.00;2.50;Лонг;5
Sell;10.08.2018 19:03:02;SPBFUT;SiU8;Sell;1015991836;5;68111;340555.00;2.50;Завершена;0
Short;13.08.2018 10:17:04;SPBFUT;SiU8;Sell;1016416393;5;68610;343048.00;2.50;Шорт;-5
Cover;13.08.2018 10:23:04;SPBFUT;SiU8;Buy;1016447771;5;68555;-342776.00;2.50;Завершена;0
Buy;13.08.2018 10:38:04;SPBFUT;SiU8;Buy;1016529126;5;68562;-342810.00;2.50;Лонг;5
Sell;13.08.2018 10:40:05;SPBFUT;SiU8;Sell;1016537993;5;68461;342307.00;2.50;Завершена;0
Short;13.08.2018 10:45:05;SPBFUT;SiU8;Sell;1016558036;5;68525;342625.00;2.50;Шорт;-5
Cover;13.08.2018 10:46:20;SPBFUT;SiU8;Buy;1016563558;5;68496;-342482.00;2.50;Завершена;0
Short;13.08.2018 11:11:05;SPBFUT;SiU8;Sell;1016672565;5;68540;342700.00;2.50;Шорт;-5
Cover;13.08.2018 11:12:25;SPBFUT;SiU8;Buy;1016678952;5;68573;-342864.00;2.50;Завершена;0
Buy;13.08.2018 12:13:05;SPBFUT;SiU8;Buy;1016930877;5;68038;-340189.00;2.50;Лонг;5
Sell;13.08.2018 12:24:20;SPBFUT;SiU8;Sell;1016972226;5;68140;340700.00;2.50;Завершена;0
Short;13.08.2018 13:53:04;SPBFUT;SiU8;Sell;1017212271;5;68373;341864.00;2.50;Шорт;-5
Cover;13.08.2018 13:56:04;SPBFUT;SiU8;Buy;1017221023;5;68421;-342105.00;2.50;Завершена;0
Buy;13.08.2018 14:36:05;SPBFUT;SiU8;Buy;1017323699;5;68436;-342182.00;2.50;Лонг;5
Sell;13.08.2018 14:38:05;SPBFUT;SiU8;Sell;1017329317;5;68407;342033.00;2.50;Завершена;0
Buy;13.08.2018 15:13:05;SPBFUT;SiU8;Buy;1017474367;5;68284;-341420.00;2.50;Лонг;5
Sell;13.08.2018 15:16:00;SPBFUT;SiU8;Sell;1017485979;5;68297;341487.00;2.50;Завершена;0
Buy;13.08.2018 15:27:05;SPBFUT;SiU8;Buy;1017524167;5;68270;-341351.00;2.50;Лонг;5
Sell;13.08.2018 15:30:05;SPBFUT;SiU8;Sell;1017536632;5;68180;340899.00;2.50;Завершена;0
Short;13.08.2018 15:33:05;SPBFUT;SiU8;Sell;1017549322;5;68206;341030.00;2.50;Шорт;-5
Cover;13.08.2018 15:34:20;SPBFUT;SiU8;Buy;1017553880;5;68134;-340669.00;2.50;Завершена;0
Short;13.08.2018 16:13:05;SPBFUT;SiU8;Sell;1017675083;5;67971;339857.00;2.50;Шорт;-5
Cover;13.08.2018 16:16:05;SPBFUT;SiU8;Buy;1017686646;5;68067;-340336.00;2.50;Завершена;0
Buy;13.08.2018 16:20:05;SPBFUT;SiU8;Buy;1017704377;5;68042;-340212.00;2.50;Лонг;5
Sell;13.08.2018 16:23:05;SPBFUT;SiU8;Sell;1017716230;5;68018;340089.00;2.50;Завершена;0
Short;13.08.2018 18:25:05;SPBFUT;SiU8;Sell;1018224958;5;68095;340477.00;2.50;Шорт;-5
Cover;13.08.2018 18:28:55;SPBFUT;SiU8;Buy;1018241168;5;68125;-340623.00;2.50;Завершена;0
Short;13.08.2018 18:30:05;SPBFUT;SiU8;Sell;1018246252;5;68137;340685.00;2.50;Шорт;-5
Cover;13.08.2018 18:45:15;SPBFUT;SiU8;Buy;1018305321;5;68212;-341062.00;2.50;Завершена;0
Short;14.08.2018 10:20:06;SPBFUT;SiU8;Sell;1018819834;5;67098;335492.00;2.50;Шорт;-5
Cover;14.08.2018 10:23:11;SPBFUT;SiU8;Buy;1018834088;5;67147;-335737.00;2.50;Завершена;0
Buy;14.08.2018 10:29:01;SPBFUT;SiU8;Buy;1018856227;5;67118;-335592.00;2.50;Лонг;5
Sell;14.08.2018 10:30:26;SPBFUT;SiU8;Sell;1018861951;5;67072;335362.00;2.50;Завершена;0
Short;14.08.2018 10:33:06;SPBFUT;SiU8;Sell;1018873663;5;67159;335796.00;2.50;Шорт;-5
Cover;14.08.2018 10:34:41;SPBFUT;SiU8;Buy;1018880702;5;67208;-336040.00;2.50;Завершена;0
Buy;14.08.2018 10:41:01;SPBFUT;SiU8;Buy;1018906554;5;67209;-336045.00;2.50;Лонг;5
Sell;14.08.2018 10:42:51;SPBFUT;SiU8;Sell;1018914289;5;67154;335770.00;2.50;Завершена;0
Buy;14.08.2018 11:24:06;SPBFUT;SiU8;Buy;1019078317;5;66990;-334948.00;2.50;Лонг;5
Sell;14.08.2018 11:25:36;SPBFUT;SiU8;Sell;1019083431;5;66951;334754.00;2.50;Завершена;0
Short;14.08.2018 11:33:06;SPBFUT;SiU8;Sell;1019111073;5;67068;335338.00;2.50;Шорт;-5
Cover;14.08.2018 11:38:06;SPBFUT;SiU8;Buy;1019127953;5;67120;-335600.00;2.50;Завершена;0
Short;14.08.2018 12:03:01;SPBFUT;SiU8;Sell;1019219622;5;67175;335874.00;2.50;Шорт;-5
Cover;14.08.2018 12:14:21;SPBFUT;SiU8;Buy;1019263076;5;67100;-335498.00;2.50;Завершена;0
Buy;14.08.2018 13:57:17;SPBFUT;SiU8;Buy;1019553662;5;67060;-335300.00;2.50;Лонг;5
Sell;14.08.2018 14:05:07;SPBFUT;SiU8;Sell;1019559256;5;67044;335220.00;2.50;Завершена;0
Buy;14.08.2018 16:53:11;SPBFUT;SiU8;Buy;1020073466;5;66940;-334700.00;2.50;Лонг;5
Sell;14.08.2018 16:55:01;SPBFUT;SiU8;Sell;1020083575;5;66884;334420.00;2.50;Завершена;0
Short;14.08.2018 17:11:06;SPBFUT;SiU8;Sell;1020152827;5;66879;334393.00;2.50;Шорт;-5
Cover;14.08.2018 17:22:06;SPBFUT;SiU8;Buy;1020192837;5;66876;-334378.00;2.50;Завершена;0
Buy;14.08.2018 18:03:07;SPBFUT;SiU8;Buy;1020368155;5;66788;-333940.00;2.50;Лонг;5
Sell;14.08.2018 18:04:02;SPBFUT;SiU8;Sell;1020371723;5;66720;333600.00;2.50;Завершена;0
Short;14.08.2018 18:13:07;SPBFUT;SiU8;Sell;1020410266;5;66778;333890.00;2.50;Шорт;-5
Cover;14.08.2018 18:14:22;SPBFUT;SiU8;Buy;1020414316;5;66802;-334010.00;2.50;Завершена;0
Short;15.08.2018 10:21:03;SPBFUT;SiU8;Sell;1021042397;5;66588;332940.00;2.50;Шорт;-5
Cover;15.08.2018 10:25:18;SPBFUT;SiU8;Buy;1021063301;5;66626;-333130.00;2.50;Завершена;0
Short;15.08.2018 10:34:08;SPBFUT;SiU8;Sell;1021103833;5;66623;333115.00;2.50;Шорт;-5
Cover;15.08.2018 10:36:03;SPBFUT;SiU8;Buy;1021113144;5;66646;-333228.00;2.50;Завершена;0
Buy;15.08.2018 10:44:03;SPBFUT;SiU8;Buy;1021144076;5;66600;-333000.00;2.50;Лонг;5
Sell;15.08.2018 11:15:33;SPBFUT;SiU8;Sell;1021269259;5;66746;333732.00;2.50;Завершена;0
Short;15.08.2018 12:22:09;SPBFUT;SiU8;Sell;1021556451;5;67146;335730.00;2.50;Шорт;-5
Cover;15.08.2018 12:24:24;SPBFUT;SiU8;Buy;1021563958;5;67162;-335809.00;2.50;Завершена;0
Short;15.08.2018 12:51:09;SPBFUT;SiU8;Sell;1021655673;5;67090;335450.00;2.50;Шорт;-5
Cover;15.08.2018 12:54:34;SPBFUT;SiU8;Buy;1021665972;5;67096;-335480.00;2.50;Завершена;0
Short;15.08.2018 13:46:04;SPBFUT;SiU8;Sell;1021821943;5;67301;336505.00;2.50;Шорт;-5
Cover;15.08.2018 13:48:09;SPBFUT;SiU8;Buy;1021829023;5;67330;-336648.00;2.50;Завершена;0
Short;15.08.2018 14:44:04;SPBFUT;SiU8;Sell;1022027959;5;67503;337513.00;2.50;Шорт;-5
Cover;15.08.2018 14:45:04;SPBFUT;SiU8;Buy;1022031839;5;67492;-337460.00;2.50;Завершена;0
Buy;15.08.2018 14:47:03;SPBFUT;SiU8;Buy;1022040760;5;67428;-337142.00;2.50;Лонг;5
Sell;15.08.2018 14:48:08;SPBFUT;SiU8;Sell;1022045883;5;67379;336894.00;2.50;Завершена;0
Short;15.08.2018 14:53:08;SPBFUT;SiU8;Sell;1022068370;5;67424;337120.00;2.50;Шорт;-5
Cover;15.08.2018 14:55:08;SPBFUT;SiU8;Buy;1022074770;5;67454;-337270.00;2.50;Завершена;0
Short;15.08.2018 15:10:03;SPBFUT;SiU8;Sell;1022125167;5;67400;337000.00;2.50;Шорт;-5
Cover;15.08.2018 15:12:43;SPBFUT;SiU8;Buy;1022133484;5;67457;-337286.00;2.50;Завершена;0
Buy;15.08.2018 15:17:03;SPBFUT;SiU8;Buy;1022147490;5;67383;-336915.00;2.50;Лонг;5
Sell;15.08.2018 15:18:03;SPBFUT;SiU8;Sell;1022151023;5;67327;336633.00;2.50;Завершена;0
Buy;15.08.2018 16:23:03;SPBFUT;SiU8;Buy;1022347286;5;67484;-337418.00;2.50;Лонг;5
Sell;15.08.2018 16:24:38;SPBFUT;SiU8;Sell;1022353664;5;67414;337070.00;2.50;Завершена;0
Short;15.08.2018 16:31:03;SPBFUT;SiU8;Sell;1022382557;5;67515;337575.00;2.50;Шорт;-5
Cover;15.08.2018 16:32:43;SPBFUT;SiU8;Buy;1022393310;5;67516;-337580.00;2.50;Завершена;0
Buy;15.08.2018 16:38:03;SPBFUT;SiU8;Buy;1022422277;5;67496;-337480.00;2.50;Лонг;5
Sell;15.08.2018 16:40:03;SPBFUT;SiU8;Sell;1022431352;5;67475;337376.00;2.50;Завершена;0
Short;15.08.2018 17:22:04;SPBFUT;SiU8;Sell;1022677520;5;67715;338573.00;2.50;Шорт;-5
Cover;15.08.2018 17:24:44;SPBFUT;SiU8;Buy;1022690009;5;67708;-338540.00;2.50;Завершена;0
Short;15.08.2018 17:31:04;SPBFUT;SiU8;Sell;1022724325;5;67773;338864.00;2.50;Шорт;-5
Cover;15.08.2018 17:32:04;SPBFUT;SiU8;Buy;1022731623;5;67840;-339200.00;2.50;Завершена;0
Buy;15.08.2018 17:37:04;SPBFUT;SiU8;Buy;1022761536;5;67790;-338950.00;2.50;Лонг;5
Sell;15.08.2018 17:38:06;SPBFUT;SiU8;Sell;1022767980;5;67807;339035.00;2.50;Завершена;0
Buy;15.08.2018 17:40:04;SPBFUT;SiU8;Buy;1022781029;5;67766;-338830.00;2.50;Лонг;5
